                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.144,                 3.1949,                 1.2891,                 0.9879,                 7.2109,                   1.19,                0.00409,                      1,                0.35487,                0.18645,                0.93597,                 3.6498,                 1.1178,                0.83252,                 8.0116,                 1.0618,             0.00023338,             0.00023338,             0.00023338
                      2,                 1.0051,                 1.9718,                  1.176,                0.88329,                 6.4945,                 1.0935,                0.00319,                   0.95,                0.36033,                0.24972,                0.85171,                 3.3457,                 1.0516,                0.76277,                 7.7534,                0.99768,             0.00046429,             0.00046429,             0.00046429
                      3,                 1.1207,                 1.9466,                 1.2079,                 0.9919,                 6.5954,                 1.0936,                0.00328,                      1,                0.46858,                0.35052,                 1.0385,                 3.6058,                 1.1739,                0.84183,                 7.7697,                 1.0202,             0.00067539,             0.00067539,             0.00067539
                      4,                 1.1353,                 1.8883,                 1.2183,                0.98252,                 6.0457,                 1.0975,                0.00345,                      1,                0.50583,                 0.3311,                 1.1224,                 3.5032,                 1.2179,                 1.0781,                 7.9004,                 1.1171,             0.00086669,             0.00086669,             0.00086669
                      5,                0.99956,                 1.6178,                 1.1403,                0.94075,                 5.5239,                 1.0752,                0.72734,                0.30379,                0.47004,                0.30291,                  1.054,                 3.2587,                 1.2703,                0.88115,                 7.5843,                 1.0625,              0.0010382,              0.0010382,              0.0010382
                      6,                 1.0625,                 1.7877,                 1.1854,                 1.0831,                 5.6946,                 1.1744,                0.00326,                      1,                0.55372,                0.31107,                 1.0512,                  3.232,                 1.2666,                 1.0057,                 7.6414,                 1.0834,              0.0011899,              0.0011899,              0.0011899
                      7,                 1.1584,                 1.8102,                 1.2448,                 1.1126,                 5.4441,                 1.1809,                0.00314,                   0.95,                0.56619,                0.33961,                 1.1785,                 2.7894,                 1.3661,                 1.0182,                 7.3705,                 1.1475,              0.0012709,              0.0012709,              0.0012709
                      8,                 1.1578,                 1.7697,                  1.256,                 1.0631,                 5.4973,                  1.188,                0.67038,                0.45091,                0.49659,                0.32207,                 1.2883,                 2.4508,                 1.4445,                 1.1511,                 7.0083,                 1.3167,              0.0012709,              0.0012709,              0.0012709
                      9,                 1.1086,                 1.5973,                 1.2288,                  1.037,                 4.9586,                 1.2027,                0.59423,                0.43333,                0.49345,                0.35875,                 1.2145,                 2.3027,                   1.42,                 1.0972,                 6.9621,                 1.4364,              0.0012049,              0.0012049,              0.0012049
                     10,                 1.0722,                 1.5623,                 1.1917,                 1.1081,                 4.9195,                  1.194,                0.59434,                0.58889,                0.60958,                0.44907,                 1.0397,                 2.2452,                 1.2923,                0.96276,                  6.253,                 1.2345,              0.0011389,              0.0011389,              0.0011389
                     11,                 1.0206,                 1.5316,                 1.1959,                 1.0527,                  5.029,                 1.2268,                0.82967,                 0.5098,                0.58913,                 0.3982,                 1.1261,                 1.6724,                  1.357,                0.85003,                 5.5196,                 1.1103,              0.0010729,              0.0010729,              0.0010729
                     12,                 0.9726,                 1.2753,                 1.1125,                 1.0021,                 4.1085,                 1.1167,                0.81202,                0.47695,                0.63134,                0.37172,                 1.1522,                  1.808,                 1.4042,                 1.0175,                 5.6248,                 1.2161,              0.0010069,              0.0010069,              0.0010069
                     13,                0.93393,                 1.3849,                 1.1539,                0.94468,                 4.5976,                 1.1184,                0.61706,                0.51803,                0.65981,                0.47829,                0.98899,                 1.5541,                 1.2185,                0.91345,                 5.0966,                 1.1463,             0.00094085,             0.00094085,             0.00094085
                     14,                0.84186,                 1.2382,                 1.0893,                0.89781,                 3.9887,                 1.0788,                 0.5763,                0.58628,                0.71492,                0.55326,                0.92259,                 1.5509,                 1.1772,                0.85933,                 4.9099,                 1.1359,             0.00087484,             0.00087484,             0.00087484
                     15,                0.97351,                 1.3671,                 1.1871,                0.99652,                  4.382,                 1.1928,                0.68837,                0.79444,                0.78186,                0.59501,                0.82395,                 1.3725,                 1.1741,                0.92055,                 4.5881,                  1.156,             0.00080883,             0.00080883,             0.00080883
                     16,                0.94024,                 1.7153,                 1.1876,                0.95198,                 6.6655,                 1.1817,                0.68568,                0.66646,                0.77083,                0.55265,                0.96142,                 1.4173,                 1.2439,                0.95533,                 4.6674,                 1.2624,             0.00074282,             0.00074282,             0.00074282
                     17,                 0.8678,                 1.6584,                 1.0958,                0.86855,                  6.351,                 1.1274,                0.76886,                0.63889,                0.80603,                0.54947,                0.95531,                 1.3857,                 1.2329,                 1.0849,                 4.6149,                 1.2593,              0.0006768,              0.0006768,              0.0006768
                     18,                0.84389,                  1.519,                 1.1556,                0.87908,                 6.1632,                 1.1583,                0.70991,                0.77151,                0.81755,                0.60406,                0.90318,                  1.206,                 1.2049,                0.94194,                 4.2878,                 1.1622,             0.00061079,             0.00061079,             0.00061079
                     19,                0.83543,                 1.5123,                  1.128,                0.83958,                 5.9366,                 1.1209,                0.75652,                  0.766,                0.84783,                0.63495,                0.93107,                 1.2362,                 1.1909,                0.91511,                 4.0752,                 1.1818,             0.00054478,             0.00054478,             0.00054478
                     20,                0.78642,                 1.4716,                 1.0651,                0.82205,                 5.8463,                 1.0681,                0.69329,                 0.8289,                0.83892,                  0.611,                0.92586,                 1.2012,                 1.2245,                0.93167,                  4.005,                 1.2155,             0.00047876,             0.00047876,             0.00047876
                     21,                0.72979,                  1.349,                 1.0735,                0.82197,                  5.615,                 1.0871,                0.92731,                0.62089,                 0.8134,                0.59674,                0.86495,                 1.2278,                 1.1743,                0.95967,                 4.0142,                 1.2216,             0.00041275,             0.00041275,             0.00041275
                     22,                0.70074,                 1.2835,                 1.0139,                0.75323,                 5.4204,                 1.0262,                0.97039,                0.61319,                0.82099,                 0.6028,                0.85826,                  1.177,                 1.1708,                0.92729,                 4.0676,                 1.1506,             0.00034674,             0.00034674,             0.00034674
                     23,                0.72033,                 1.2983,                  1.036,                0.73327,                 5.3493,                 1.0273,                0.97031,                0.61643,                0.82082,                 0.5934,                 0.8295,                 1.1364,                 1.1615,                0.94057,                 3.9843,                 1.1216,             0.00028072,             0.00028072,             0.00028072
                     24,                0.71061,                 1.2781,                 1.0072,                0.73865,                 5.2579,                 0.9933,                0.95759,                0.59279,                 0.8112,                 0.6069,                0.86068,                 1.0851,                 1.1518,                0.96907,                 3.8671,                 1.1287,             0.00021471,             0.00021471,             0.00021471
                     25,                0.68412,                 1.2857,                 1.0025,                0.70444,                 5.2645,                 1.0189,                0.98515,                0.59444,                0.81893,                0.61848,                 0.8765,                 1.0923,                 1.1399,                0.94091,                  3.784,                 1.1193,              0.0001487,              0.0001487,              0.0001487
